CONTROL,RAS,RAH,RAD,JRAS,RAHK,JRAD
'100003130203','53','2',4000,'-9','2','-9'
'100006110249','52','1',400,'-9','2','-9'
'100006110249','53','1',300,'-9','2','-9'
'100006110249','61','1',200,'-9','2','-9'
'100006520140','45','2',1200,'-9','2','-9'
'100006520140','47','2',0,'-9','2','-9'
'100006520140','53','2',3500,'-9','2','-9'
'100006520140','62','2',0,'-9','2','-9'
'100006520140','63','2',0,'-9','2','-9'
'100006520140','71','2',700,'-9','2','-9'
'100006520140','72','2',7000,'-9','2','-9'
'100008960141','53','2',7500,'-9','2','-9'
'100010190149','74','2',2000,'-9','2','-9'
'100013430103','74','2',1200,'-9','2','-9'
'100013430203','12','1',10000,'-9','2','-9'
'100013430203','35','1',2000,'-9','2','-9'
'100015770147','57','1',500,'-9','2','-9'
'100022130103','61','1',150,'-9','2','-9'
'100022990149','13','1',8500,'-9','2','-9'
'100022990149','57','2',3000,'-9','2','-9'
'100022990149','58','2',4500,'-9','2','-9'
'100022990149','66','1',450,'-9','2','-9'
'100027770146','67','2',7000,'-9','2','-9'
'100027770146','71','1',1000,'-9','2','-9'
'100028130103','52','2',2000,'-9','2','-9'
'100028130103','53','2',2000,'-9','2','-9'
'100028130103','62','2',800,'-9','2','-9'
'100028330140','52','2',3000,'-9','2','-9'
'100028330140','53','2',2000,'-9','2','-9'
'100028330140','55','2',200,'-9','2','-9'
'100028330140','71','2',2500,'-9','2','-9'
'100028330140','72','2',2500,'-9','2','-9'
'100028590144','37','1',30,'-9','2','-9'
'100028590144','47','1',200,'-9','2','-9'
'100028590144','53','1',400,'-9','2','-9'
'100029230103','52','2',4000,'-9','2','-9'
'100029370149','74','2',0,'-9','2','-9'
'100029370149','42','2',1500,'-9','2','-9'
'100032550147','37','2',2000,'-9','2','8'
'100032550147','57','2',3334,'-9','2','8'
'100032550147','58','2',2667,'-9','2','8'
'100048700148','47','1',200,'-9','2','-9'
'100049180149','52','2',9390,'-9','2','-9'
'100053430103','74','1',300,'-9','2','9'
'100056380140','13','1',2000,'-9','2','8'
'100056380140','37','2',13685,'-9','2','8'
'100056380140','57','2',2730,'-9','2','8'
'100056380140','67','2',6316,'-9','2','8'
'100058130103','61','2',0,'-9','2','-9'
'100058130103','38','2',4700,'-9','2','-9'
'100067760144','45','2',3000,'-9','2','-9'
'100067760144','52','2',1200,'-9','2','-9'
'100067760144','53','2',2400,'-9','2','-9'
'100067760144','57','2',3000,'-9','2','-9'
'100067760144','58','2',3000,'-9','2','-9'
'100067760144','62','1',728,'-9','2','-9'
'100067760144','72','1',20800,'-9','2','-9'
'100067760144','64','1',545,'-9','2','-9'
'100067760144','64','1',473,'-9','2','-9'
'100067760144','70','2',2970,'-9','2','-9'
'100072130103','66','1',250,'-9','2','-9'
'100074570143','45','2',8000,'-9','2','-9'
'100074570143','47','2',1000,'-9','2','-9'
'100074570143','55','2',12155,'-9','2','-9'
'100074570143','62','2',600,'-9','2','-9'
'100074570143','74','2',300,'-9','2','-9'
'100074570143','42','1',2000,'-9','2','-9'
'100094190143','45','2',7200,'-9','2','-9'
'100094350143','37','2',12000,'-9','2','-9'
'100101360143','45','2',3300,'-9','2','-9'
'100107230103','35','1',800,'-9','2','-9'
'100107230103','55','1',20,'-9','2','-9'
'100107330103','67','1',2500,'-9','2','-9'
'100107370148','37','2',13000,'-9','2','-9'
'100107370148','66','2',17148,'-9','2','-9'
'100107630103','45','2',1500,'-9','2','-9'
'100107630103','49','1',10,'-9','2','-9'
'100107630103','53','2',8000,'-9','2','-9'
'100107630103','58','2',100,'-9','2','-9'
'100107630103','72','2',700,'-9','2','-9'
'100114720245','45','2',21443,'-9','2','-9'
'100114720245','53','2',14897,'-9','2','-9'
'100114720245','67','2',32169,'-9','2','-9'
'100114720245','68','2',35000,'-9','2','-9'
'100114720245','72','1',69290,'-9','2','-9'
'100119190149','37','2',7400,'-9','2','-9'
'100119190149','45','2',5600,'-9','2','-9'
'100119190149','49','2',1059,'-9','2','9'
'100119190149','61','2',600,'-9','2','9'
'100119190149','38','2',3300,'-9','2','9'
'100121340142','65','2',2353,'-9','2','9'
'100126130103','45','2',600,'-9','2','-9'
'100126230103','49','2',900,'-9','2','-9'
'100126330203','74','1',15,'-9','2','-9'
'100129130103','63','2',230,'-9','2','-9'
'100138580149','45','2',2588,'-9','2','9'
'100141130103','66','2',2000,'-9','2','-9'
'100141130103','74','2',99,'-9','2','-9'
'100142230103','37','2',4000,'-9','2','-9'
'100143130103','45','1',150,'-9','2','-9'
'100143130103','63','1',100,'-9','2','-9'
'100143130103','65','1',150,'-9','2','-9'
'100144510149','63','1',250,'-9','2','-9'
'100144510149','42','2',11596,'-9','2','-9'
'100150590148','61','1',1000,'-9','2','-9'
'100153770147','37','2',9000,'-9','2','-9'
'100158330103','05','1',300,'-9','2','-9'
'100158330103','69','1',500,'-9','2','-9'
'100158370146','37','2',3100,'-9','2','-9'
'100158370146','45','2',6000,'-9','2','-9'
'100158370146','47','2',2000,'-9','2','-9'
'100158370146','73','2',2000,'-9','2','-9'
'100167130103','37','2',8300,'-9','2','-9'
'100167130103','52','2',6500,'-9','2','-9'
'100167710146','37','2',10300,'-9','2','-9'
'100167710146','45','2',500,'-9','2','-9'
'100167710146','62','2',300,'-9','2','-9'
'100167970146','37','2',8000,'-9','2','-9'
'100167970146','45','2',1200,'-9','2','-9'
'100168130103','53','1',250,'-9','2','-9'
'100168130103','65','1',200,'-9','2','-9'
'100168390147','45','2',8000,'-9','2','-9'
'100168390147','49','2',0,'-9','2','-9'
'100168390147','52','2',1000,'-9','2','-9'
'100168390147','69','1',1000,'-9','2','-9'
'100168390147','72','1',2000,'-9','2','-9'
'100168390147','38','2',3000,'-9','2','-9'
'100169330103','53','1',1000,'-9','2','-9'
'100173560143','57','1',7300,'-9','2','-9'
'100173560143','61','2',1215,'-9','2','-9'
'100173560143','65','2',3600,'-9','2','-9'
'100176230103','52','2',2000,'-9','2','-9'
'100176230103','71','2',5000,'-9','2','-9'
'100181360149','61','2',550,'-9','2','-9'
'100188160142','61','2',824,'-9','2','9'
'100188160142','62','2',588,'-9','2','9'
'100188160142','63','2',188,'-9','2','9'
'100196130103','65','2',2000,'-9','2','-9'
'100204710143','53','1',500,'-9','2','9'
'100204710143','61','2',1000,'-9','2','9'
'100205350142','47','2',2000,'-9','2','-9'
'100205350142','57','2',1500,'-9','2','-9'
'100218230103','65','2',700,'-9','2','-9'
'100218230103','66','2',1000,'-9','2','-9'
'100229310145','45','2',1200,'-9','2','-9'
'100232140141','47','1',12,'-9','2','-9'
'100232140141','42','2',371,'-9','2','9'
'100238330103','38','2',0,'-9','2','-9'
'100239130103','47','1',200,'-9','2','-9'
'100239940144','61','2',1000,'-9','2','-9'
'100243110142','45','2',300,'-9','2','-9'
'100243110142','57','2',2374,'-9','2','-9'
'100245750144','38','2',3800,'-9','2','-9'
'100246130103','66','2',17148,'-9','2','-9'
'100246130103','67','2',10000,'-9','2','-9'
