Vehicle,YEAR,"Collision
","Property damage
","Compre-
hensive
","Personal
injury
","Medical
payment
","Bodily
injury
"
,,,,,,,
Acura TSX,2012,106,83,110,94,84,82
,,,,,,,
Buick Verano,2012,82,68,86,114,,
,,,,,,,
Chevrolet Malibu,2012,95,97,101,122,136,123
,,,,,,,
Chrysler 200,2012,93,88,97,144,134,125
,,,,,,,
Dodge Avenger,2012,114,124,98,176,178,169
,,,,,,,
Ford Fusion,2012,102,89,106,112,122,104
,,,,,,,
Ford Fusion 4WD,2012,118,84,111,101,97,
,,,,,,,
Ford Fusion hybrid,2012,119,90,98,75,81,103
,,,,,,,
Honda Accord,2012,83,88,85,113,116,96
,,,,,,,
Hyundai Sonata,2012,106,92,104,118,124,104
,,,,,,,
Hyundai Sonata hybrid,2012,151,103,114,99,,
,,,,,,,
Kia Optima,2012,110,92,113,128,135,113
,,,,,,,
Kia Optima hybrid,2012,113,,119,,,
,,,,,,,
Mazda 6,2012,92,106,90,108,120,113
,,,,,,,
Mitsubishi Galant,2012,109,121,93,189,215,153
,,,,,,,
Nissan Altima,2012,105,90,100,145,147,108
,,,,,,,
Nissan Maxima,2012,129,93,154,131,116,96
,,,,,,,
Subaru Legacy 4WD,2012,87,76,111,89,85,83
,,,,,,,
Suzuki Kizashi,2012,129,93,130,120,,
,,,,,,,
Suzuki Kizashi 4WD,2012,157,107,134,128,,
,,,,,,,
Toyota Camry,2012,111,74,130,133,141,92
,,,,,,,
Toyota Camry hybrid,2012,97,46,123,103,103,
,,,,,,,
Volkswagen Jetta,2012,116,108,105,110,118,120
,,,,,,,
Volkswagen Passat,2012,101,73,125,110,117,84
,,,,,,,
Volkswagen Passat CC,2012,121,86,106,103,102,90
,,,,,,,
Volkswagen Passat CC 4WD,2012,164,,,,,
,,,,,,,
Acura TSX,2011,105,84,117,93,93,78
,,,,,,,
Chevrolet Malibu,2011,105,92,98,115,119,114
,,,,,,,
Chrysler 200,2011,105,39,111,115,,
,,,,,,,
Dodge Avenger,2011,105,127,91,167,165,156
,,,,,,,
Ford Fusion,2011,105,88,98,107,120,102
,,,,,,,
Ford Fusion 4WD,2011,105,81,112,103,,
,,,,,,,
Ford Fusion hybrid,2011,105,95,104,75,84,103
,,,,,,,
Honda Accord,2011,105,85,85,107,99,93
,,,,,,,
Hyundai Sonata,2011,105,84,121,115,118,96
,,,,,,,
Kia Optima,2011,105,75,118,121,133,100
,,,,,,,
Mazda 6,2011,105,105,94,103,113,111
,,,,,,,
Mercury Milan,2011,105,95,81,104,109,104
,,,,,,,
Mercury Milan 4WD,2011,105,95,90,,,
,,,,,,,
Mercury Milan hybrid,2011,105,119,,,,
,,,,,,,
Mitsubishi Galant,2011,105,134,93,179,188,161
,,,,,,,
Nissan Altima,2011,105,90,94,140,145,108
,,,,,,,
Nissan Altima hybrid,2011,105,96,102,120,,
,,,,,,,
Nissan Maxima,2011,105,89,161,126,110,101
,,,,,,,
Subaru Legacy 4WD,2011,105,70,123,86,75,72
,,,,,,,
Suzuki Kizashi,2011,105,,108,,,
,,,,,,,
Suzuki Kizashi 4WD,2011,105,,159,,,
,,,,,,,
Toyota Camry,2011,105,101,92,142,134,106
,,,,,,,
Toyota Camry hybrid,2011,105,101,98,99,93,96
,,,,,,,
Volkswagen Jetta,2011,105,80,105,112,117,110
,,,,,,,
Volkswagen Passat CC,2011,105,82,106,98,100,90
,,,,,,,
Volkswagen Passat CC 4WD,2011,105,,120,,,
,,,,,,,
Volvo S40,2011,105,99,112,84,,
,,,,,,,
Acura TSX,2010,111,73,116,89,93,71
,,,,,,,
Chevrolet Malibu (NEW),2010,94,83,98,111,112,105
,,,,,,,
Chevrolet Malibu Hybrid,2010,80,78,,,,
,,,,,,,
Chrysler Sebring,2010,93,116,84,148,146,151
,,,,,,,
Dodge Avenger,2010,111,135,100,164,170,159
,,,,,,,
Ford Fusion,2010,98,85,91,112,125,106
,,,,,,,
Ford Fusion 4WD,2010,98,73,93,106,,
,,,,,,,
Ford Fusion Hybrid 4dr,2010,121,84,113,65,,
,,,,,,,
Honda Accord,2010,82,79,86,105,99,89
,,,,,,,
Hyundai Sonata,2010,103,95,82,124,130,114
,,,,,,,
Kia Optima,2010,118,115,98,169,165,141
,,,,,,,
Mazda 6,2010,86,92,92,95,102,98
,,,,,,,
Mercury Milan,2010,102,86,81,109,111,94
,,,,,,,
Mercury Milan 4WD,2010,107,87,77,,,
,,,,,,,
Mercury Milan Hybrid 4dr,2010,84,,,,,
,,,,,,,
Mitsubishi Galant,2010,118,117,95,176,166,154
,,,,,,,
Nissan Altima,2010,109,89,97,137,135,100
,,,,,,,
Nissan Altima Hybrid,2010,110,89,98,114,,92
,,,,,,,
Nissan Maxima,2010,128,76,164,121,108,98
,,,,,,,
Saturn Aura,2010,80,97,77,97,107,102
,,,,,,,
Subaru Legacy 4WD,2010,75,52,105,75,,
,,,,,,,
Toyota Camry,2010,113,99,91,139,132,102
,,,,,,,
Toyota Camry Hybrid,2010,109,93,99,85,93,90
,,,,,,,
Volkswagen Jetta,2010,108,98,89,95,103,108
,,,,,,,
Volkswagen Passat,2010,101,87,101,94,89,88
,,,,,,,
Volkswagen Passat CC,2010,116,73,101,96,97,86
,,,,,,,
Volkswagen Passat CC 4WD,2010,109,,117,,,
,,,,,,,
Volvo S40,2010,110,98,104,81,,
,,,,,,,
Volvo S40 4WD,2010,75,,116,,,
,,,,,,,
Acura TSX,2009,111,66,116,88,89,62
,,,,,,,
Chevrolet Malibu (NEW),2009,94,79,113,103,104,93
,,,,,,,
Chevrolet Malibu Hybrid,2009,90,,,,,
,,,,,,,
Chrysler Sebring,2009,99,110,100,153,155,138
,,,,,,,
Dodge Avenger,2009,109,123,106,155,163,147
,,,,,,,
Ford Fusion,2009,111,98,97,124,137,123
,,,,,,,
Ford Fusion 4WD,2009,111,90,80,101,115,106
,,,,,,,
Honda Accord,2009,83,75,88,102,92,84
,,,,,,,
Hyundai Sonata,2009,101,96,83,117,122,108
,,,,,,,
Kia Optima,2009,127,115,118,167,176,149
,,,,,,,
Mazda 6,2009,83,94,87,88,,
,,,,,,,
Mercury Milan,2009,104,101,81,113,113,105
,,,,,,,
Mercury Milan 4WD,2009,104,106,79,95,,
,,,,,,,
Mitsubishi Galant,2009,123,126,82,166,176,152
,,,,,,,
Nissan Altima,2009,120,94,105,141,137,108
,,,,,,,
Nissan Altima Hybrid,2009,98,76,91,107,,89
,,,,,,,
Nissan Maxima,2009,117,64,177,109,96,106
,,,,,,,
Pontiac G6,2009,124,115,102,144,158,145
,,,,,,,
Saturn Aura,2009,87,83,76,90,100,100
,,,,,,,
Saturn Aura Hybrid,2009,82,,,,,
,,,,,,,
Subaru Legacy 4WD,2009,98,93,94,90,96,88
,,,,,,,
Toyota Camry,2009,119,94,100,132,128,100
,,,,,,,
Toyota Camry Hybrid,2009,109,88,99,81,85,91
,,,,,,,
Volkswagen Jetta,2009,109,99,79,97,100,106
,,,,,,,
Volkswagen Passat,2009,103,78,89,88,84,81
,,,,,,,
Volkswagen Passat CC,2009,79,56,76,95,,
,,,,,,,
Volvo S40,2009,103,89,95,76,77,89
,,,,,,,
Volvo S40 4WD,2009,81,63,55,,,
