REVENUE,MOU,RECCHRGE,DIRECTAS,OVERAGE,ROAM,CHANGEM,CHANGER,DROPVCE,BLCKVCE,UNANSVCE,CUSTCARE,THREEWAY,MOUREC,OUTCALLS,INCALLS,PEAKVCE,OPEAKVCE,DROPBLK,CALLFWDV,CALLWAIT,CHURN,MONTHS,UNIQSUBS,ACTVSUBS,CSA,PHONES,MODELS,EQPDAYS,CUSTOMER,AGE1,AGE2,CHILDREN,CREDITA,CREDITAA,CREDITB,CREDITC,CREDITDE,CREDITGY,CREDITZ,CREDIT_RATING,PRIZMRUR,PRIZMUB,PRIZMTWN,Column 45,REFURB,WEBCAP,TRUCK,RV,OCCPROF,OCCCLER,OCCCRFT,OCCSTUD,OCCHMKR,OCCRET,OCCSELF,OCC,OCC_LABEL,OWNRENT,MARRYUN,MARRYYES,MARRYNO,MARRY,MARRY_LABEL,MAILORD,MAILRES,MAILFLAG,TRAVEL,PCOWN,CREDITCD,RETCALLS,RETACCPT,NEWCELLY,NEWCELLN,REFER,INCMISS,INCOME,MCYCLE,CREDITAD,SETPRCM,SETPRC,RETCALL,CALIBRAT,CHURNDEP
45.69,246,44.99,0,26.75,0,-109,-10.7,5.33,0.67,7,0,0,39.89,6.67,2.67,18.67,28.67,6,0,0,0,26,1,1,APCBAL410,1,1,761,1022063,0,0,0,0,0,1,0,0,0,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,
40.55,291,29.99,0,3,3.17,155,6.93,2,0,0.67,2,0,42.26,13.67,2,29.67,39.33,2,0,0,0,21,3,2,NYCMAN917,2,2,642,1022212,54,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,1,0,0,1,0,UNMARRIED,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29.99,0,0,
35.58,296,44.99,0,4.25,0,-15,1.76,9,1.33,37.33,0,0,40.67,17,4.33,51,33.33,10.33,0,0,0,23,2,1,LAXSAN714,3,2,472,1022559,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29.99,0,0,
9.13,7.75,7.5,0,7.25,0,16.25,4.13,1.33,0,1.33,0,0,2.28,1.67,0,2.33,1,1.33,0,0,0,23,1,1,APCBAL410,1,1,704,1022792,40,54,0,0,0,0,0,0,1,0,6,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,1,0,UNMARRIED,1,1,0,0,0,1,0,0,0,0,0,0,5,0,1,1,0,0,0,
57.99,515.5,59.99,0,0,0,-11.5,0,8.67,3.67,17.33,1.33,0,148.57,23.33,0.67,86,75.33,12.33,0,0.67,0,23,2,1,KCYWIC316,2,1,368,1023739,30,0,0,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NONE,1,0,0,1,0,UNMARRIED,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,29.99,0,0,
54.76,283.75,44.99,0.5,22.25,4.91,-43.75,-1.69,5,0.33,20,3,0,67.84,18,0,54.67,48.67,5.33,0,1.33,1,12,1,1,BOSBOS978,1,1,356,1054187,58,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,STUDENT,0,0,1,0,2,UNKNOWN,1,1,0,0,1,1,0,0,0,0,0,0,5,0,0,1,0,0,1,1
99.75,550.25,48.49,0.5,127.75,0,370.75,73.19,6.33,0,75.33,5.33,0.33,75.67,60.67,1,119,102.33,6.33,0,2,1,12,1,1,SFRSAC916,1,1,355,1054299,42,42,1,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,0,1,0,2,UNKNOWN,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,1,1
35.22,305,10,0,83.75,0,65,-2.12,1,0.33,34.67,0,0.33,39.22,48.67,5.67,61.67,156.33,1.33,0,1,1,11,2,2,SANGEO512,1,1,347,1055453,46,42,1,0,1,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,1,1,0,0,1,1,0,0,0,0,0,0,9,0,0,1,0,0,1,1
69.25,208.25,30,0,18.75,0.2,54.75,-17.2,4.67,4,17,1.33,0.33,2.31,3,0,23.67,18.33,8.67,0,0,1,13,1,1,AIRHIC828,2,2,109,1055588,76,74,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,0,1,0,2,UNKNOWN,1,1,0,0,0,1,1,1,0,0,0,0,4,0,0,0,59.99,1,1,1
81.26,560,59.99,0,9.75,0.1,-15,-28.02,2,1.67,19,0.67,0,288.42,19,0.67,166.33,26,3.67,0,3.33,1,13,1,1,CHIDAV319,1,1,407,1055632,32,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,0,0,1,0,UNMARRIED,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1
31.01,54.5,39.99,0.5,5.25,0.19,-54.5,-2.52,0.67,4.33,0.67,0.33,0.33,14.43,4.67,0,16.33,3.33,5,0,0,1,13,1,1,APCWAS202,1,1,407,1055675,32,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,0,1,0,UNMARRIED,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,1,1
18.88,171.25,10,0.25,22,0,28.75,-5.39,1.33,0.67,7.33,0,0,28.89,4,5,28,6,2,0,0.33,1,11,2,2,NOLKEN504,1,1,343,1056009,48,18,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,1,0,0,3,UNKNOWN,1,1,0,1,0,1,0,0,0,0,0,0,9,0,0,1,0,0,1,1
9.5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,2,APCSIL301,1,1,509,1056400,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
44.45,181,39.99,0,0,15.7,-181,-15.96,0.67,2.67,5.67,0,0,61.04,30.33,3,33.33,34,3.33,0,0,1,11,2,2,SANSAN210,2,1,229,1056474,56,50,0,0,0,1,0,0,0,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,29.99,0,1,1
49.99,470.75,59.99,0,0,0,-39.75,0,10,0,41.67,0,0,136.49,44.33,3.33,92,107,10,0,0.67,1,17,1,1,NYCNEW201,1,1,507,1056751,72,60,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,1,1,1,0,0,1,0,0,0,0,0,0,9,0,0,1,0,0,1,1
24.24,153.5,29.99,0,0,1.75,-8.5,-22.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,1,AIRASH828,1,1,442,1057233,60,0,0,0,1,0,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,6,RETIRED,0,0,1,0,2,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,1,1
48.22,30.75,52.73,0,0,0,-30.75,1.77,2.33,8,2.33,2,0,0,0.67,0,3,2.33,10.33,0,0,1,11,1,1,OHICLE216,3,2,274,1057273,28,52,0,0,0,0,1,0,0,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NONE,0,1,0,0,3,UNKNOWN,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,39.99,0,1,1
125.12,2030.25,86.29,5.69,137.75,1.25,1244.75,42.64,16.33,0.67,145.33,3.67,2,408.88,110.33,21.33,235.33,382.67,17,0,14,1,16,3,1,DENCOL719,3,2,93,1057585,0,0,0,0,0,1,0,0,0,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,199.99,0,1,1
