REVENUE,MOU,RECCHRGE,DIRECTAS,OVERAGE,ROAM,CHANGEM,CHANGER,DROPVCE,BLCKVCE,UNANSVCE,CUSTCARE,THREEWAY,MOUREC,OUTCALLS,INCALLS,PEAKVCE,OPEAKVCE,DROPBLK,CALLFWDV,CALLWAIT,CHURN,MONTHS,UNIQSUBS,ACTVSUBS,CSA,PHONES,MODELS,EQPDAYS,CUSTOMER,AGE1,AGE2,CHILDREN,CREDITA,CREDITAA,CREDITB,CREDITC,CREDITDE,CREDITGY,CREDITZ,CREDIT_RATING,PRIZMRUR,PRIZMUB,PRIZMTWN,Column 45,REFURB,WEBCAP,TRUCK,RV,OCCPROF,OCCCLER,OCCCRFT,OCCSTUD,OCCHMKR,OCCRET,OCCSELF,OCC,OCC_LABEL,OWNRENT,MARRYUN,MARRYYES,MARRYNO,MARRY,MARRY_LABEL,MAILORD,MAILRES,MAILFLAG,TRAVEL,PCOWN,CREDITCD,RETCALLS,RETACCPT,NEWCELLY,NEWCELLN,REFER,INCMISS,INCOME,MCYCLE,CREDITAD,SETPRCM,SETPRC,RETCALL,CALIBRAT,CHURNDEP
342.86,2961.25,139.96,11.14,1444.75,62.34,203.75,6.88,10,9.33,113.67,0,1.67,871.5,210.67,96.33,732.33,156,19.67,2.33,34.33,0,52,2,2,NSHNSH615,10,7,72,1000064,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,399.99,0,0,
35.31,307,34.99,0,0,0,204,-0.32,1,2.33,24.33,0,0,0,0.33,0,10.67,47.33,3.33,0,0,0,48,1,1,DALDAL214,3,2,539,1000305,60,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NONE,0,1,0,0,3,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,29.99,0,0,
84.66,1642.75,80,1.49,0,0,0.25,-2.47,9.33,9,70.33,1.33,0,628.93,58.67,14.33,692,124,18.33,0,23,0,51,2,1,MIANDA305,6,5,153,1000556,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,29.99,0,0,
65.62,321.5,50,0.25,2.25,0,-117.5,-13.63,12.67,2.67,19.67,0,0,43.55,8,1,93.33,26,15.33,0,0.67,0,49,2,1,DETTOL419,11,5,97,1000687,46,42,1,1,0,0,0,0,0,0,1,0,1,0,2,1,1,1,0,0,0,1,0,0,0,0,3,CRAFT,0,0,1,0,2,UNKNOWN,1,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,99.99,0,0,
86.48,807,75,0,0,0.26,110,-5.25,13.67,0.33,36,0.33,0.33,221.66,56,30.33,174.67,299,14,0,0.33,0,48,1,1,NYCBRO917,4,4,174,1000850,54,46,1,0,0,0,1,0,0,0,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,1,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,29.99,0,0,
82.74,967.75,104.99,0.25,0,0,445.25,12.25,29.33,13.67,103.67,0,1,328.42,78.33,17.67,201.67,304,43,0,14.33,0,48,3,2,PHIPHI215,5,5,332,1001166,32,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,0,1,0,UNMARRIED,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,149.99,0,0,
36,118.5,30,0.99,0,0,28.5,-2.75,0.33,3.33,14.33,3.33,0,10.2,11.67,0,29.67,27.67,3.67,0,0,0,49,1,1,NSHNSH615,2,2,1196,1001295,44,48,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,NONE,0,0,0,1,0,UNMARRIED,1,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,29.99,0,0,
29.99,216.75,29.99,0,0,0,-27.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,1,BIRBIR205,2,2,164,1001433,46,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,0,1,0,UNMARRIED,1,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,29.99,0,0,
18.42,29.25,16.99,0,0,0,-28.25,-2.28,0.33,0,5,1.33,0,0,0,0,7.67,2,0.33,0,0,0,44,1,1,SFRSMO650,1,1,1342,1001698,42,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,0,0,1,0,UNMARRIED,1,1,0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,
35.33,131.5,29.99,0,15.25,0,-72.5,-5.34,0,0,9,0.67,0.33,32.19,3.33,3.33,21,18.67,0,0,0.33,0,45,2,1,OMAOMA402,3,2,356,1001971,60,60,0,0,1,0,0,0,0,0,2,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,0,1,0,2,UNKNOWN,1,1,0,0,0,1,0,0,1,0,0,0,8,0,0,0,29.99,0,0,
